id,price,cost
657,51000,40000
697,141000,116000
677,67000,57000
683,77000,62000
964,85000,74000
680,70000,60000
681,70000,60000
646,55000,37500
647,55000,37500
663,50000,40000
598,39000,31000
596,39000,31000
607,39000,33000
594,35000,29000
592,26000,24000
632,48000,34000
669,58000,47000
608,33500,28000
616,42000,30000
644,42000,37000
690,85000,75000
693,85000,75000
648,55000,37500
649,46250,37500
658,52500,40000
963,52000,40000
661,52500,40000
650,45000,37500
695,90000,80000
633,47000,34000
696,90000,80000
678,67000,57000
653,50000,38000
615,34000,29000
672,62000,52000
679,70000,58000
674,62000,52000
624,38000,30000
654,52000,38000
673,62000,52000
670,55000,50000
971,24500,22000
617,40000,30000
638,46000,36000
651,50000,37500
666,49000,44000
639,47000,36000
691,101250,75000
692,101250,75000
652,55000,37500
694,90000,80000
664,54000,42000
987,50000,40000
626,42000,32000
631,42000,32000
675,65000,54000
627,42000,32000
609,37000,28000
959,38000,31000
623,38000,30000
628,37000,32000
597,36000,26000
618,38000,30000
637,46000,35000
640,46000,36000
641,45000,36000
599,37000,27000
645,48000,37000
587,20000,13000
659,52000,40000
634,42000,34000
619,39500,30000
684,77000,62000
686,82000,67000
610,39000,28000
589,21000,17000
590,21000,17000
965,30000,25000
591,27000,22000
662,45000,40000
671,60000,50000
630,42000,32000
595,37000,25000
629,42000,32000
665,55000,42000
635,46000,34000
642,49000,36000
643,46000,36000
667,52500,45000
676,72500,55000
593,30000,24000
600,33000,27000
668,61250,45000
586,17000,12000
585,11500,10000
620,35000,30000
611,36000,28000
606,32000,27000
656,49000,39000
614,33000,28000
588,25000,16000
621,40000,30000
625,42000,31000
622,40000,30000
612,38000,28000
655,52000,38000
660,52500,40000
601,33000,27000
602,33000,27000
603,33000,27000
605,33000,27000
604,33000,27000
688,82000,72000
613,38000,28000
636,47000,34000
